sentiment,text,user
1,"@RickMenning @RogerSimmons Here are even older concepts: paying for news (we bought the newspaper.  You get yours f… https://t.co/eigG3eXygC","DavidJNeal"
0,"RT @ErayCr: FINALLY, Netflix has cancelled #LaalSinghChaddha deal with Aamir Khan.\n\nNow, Aamir has all hopes from the Chinese BO. The film…","CrazyWo41124128"
0,"netflix has games now??","hanaanobabyy"
0,"RT @i6XEH4: UNLI STOCK : OPEN \n\nPremium Acc\nNetflix ph Spotify shared solo\ncheck timeline for proofs \n\ncheck pricelist below \n mop : gcash/…","0xbigwin127"
0,"RT @thrashern8tor: Woke up to another one… @netflix #SaveFirstKill #FreeFirstKill","CrystalRoncella"
0,"@amirjacobs1 @tomytailfin_ @OroroWasHere @GentlemanJonD @narutosdurag So until we told you they're in debt, you jus… https://t.co/kM3dxDByPM","dangleverse"
1,"LaListaPodcast: RT @niki_lopez: ¡MI GENTE! Not only did a new batch of #SantiagoOfTheSeas episodes drop on… https://t.co/lk0uTr8PzB","oyedimelo"
0," Netflix ♡ \nシราคาถูกๆมาเเน้วシ\n♡︎ดูได้ทุกเรื่องเลยยยย♡︎\n ดูเเลตลอดการใช้งาน\n จอส่วนตัว\n ต่อเมลเดิมได้\nสั่งซื้อ… https://t.co/z2fMFoNEAY","cc_injii"
0,"The Manti Te'o doc on Netflix is an emotional rollercoaster https://t.co/Ry5y4rQNls","brotips"
1,"RT @Mindsetconquer: Top 10 romantic comedies on Netflix for new couples to watch. \n\n1. Me Before You. https://t.co/NC29cp4EHz","SserwanjaAlex3"
0,"Gente, me indicaram uma série na Netflix pra assistir e eu tô amando. Chama-se Alma","Carlos_DiBianco"
0,"@coklu Acá hay info adicional https://t.co/L6iYbCLVyr","_VidasInfinitas"
0,"ไหนลองไม่ติดแท็กสิ้ | \nหาร viu\nหาร wetv \nหาร netflix  \nหาร iqiyi \nสั่งแอคหลักนะคะ @bonbon_78","bonbon_ver2"
0,"RT @GabbbarSingh: Netflix has become smarter. Now it forces Bollywood makers to release the movie in theatres to check before signing the d…","EbbyAbsar"
0,"RT @PedroHTunes: Netflix’s Sandman: A Dream of a Thousand Cats - Bonus Episode (2022) https://t.co/9iFpP2YEk3","ilikesharpteeth"
0,"☆NETFLIX☆ชมแบบultra hd4k\n\n          30 วัน ราคา 95 บาท\n\nตัดเต็มวัน โอนแล้วส่งรหัสทันที\nจอส่วนตัว100% ไม่หารร่วม\n… https://t.co/uWRwWHnJ89","nfxxvwstore"
0,"@netflix Renew #BNAbrandnewanimal","3030Goku"
0,"RT @jam_th_official: Josee, The Tiger and the fish \nอนิเมะมูฟวี่อบอุ่นหัวใจที่ตราตรึงใจหลายคน \n\n พร้อมออนแอร์ 16 กันยายนนี้์ทาง Netflix\n\n#…","mmiloo_x"
