sentiment,text,user
0,"RT @calvinrobinson: Biomedical data (DNA) of 1/2 million Brits is being shared with China.\n\nUK Government encouraged data-sharing with Chin…","kheatherbrown"
0,"RT @calvinrobinson: Biomedical data (DNA) of 1/2 million Brits is being shared with China.\n\nUK Government encouraged data-sharing with Chin…","minx8888"
0,"RT @calvinrobinson: Biomedical data (DNA) of 1/2 million Brits is being shared with China.\n\nUK Government encouraged data-sharing with Chin…","EmileMoneron"
0,"RT @calvinrobinson: Biomedical data (DNA) of 1/2 million Brits is being shared with China.\n\nUK Government encouraged data-sharing with Chin…","sockllobego46"
1,"RT @Strategy_Gal: How do you explain data science to a non-data scientist?\n\nLearn this 3 clever ways on using storytelling to explain data…","jeffaltman"
1,"The #tokenomics questionnaire\n\nThe Tesseract Academy’s mission is to help leaders and decision makers better unders… https://t.co/qud4XzSVgU","beyond_machine"
-1,"RT @Jim_Jordan: Anyone with a brain knows that lockdowns and mask mandates failed. \n\nBut Walensky and Fauci think they didn’t go far enough…","erlacofd"
0,"This is why I’ve always encouraged everyone I know NEVER to take part in biobank.  https://t.co/n8svjKz5Nd","ClareCoyne8"
0,"RT @calvinrobinson: Biomedical data (DNA) of 1/2 million Brits is being shared with China.\n\nUK Government encouraged data-sharing with Chin…","Virgini22168605"
0,"21 Ogos 3022 ~ Bengkel Pengendalian dan Pemprosesan Data Dron bagi Pengurusan Risiko Bencana telah berlangsung di F… https://t.co/r5LgfiEtBe","mynadma"
0,"RT @calvinrobinson: Biomedical data (DNA) of 1/2 million Brits is being shared with China.\n\nUK Government encouraged data-sharing with Chin…","dimmersparks"
0,"https://t.co/cOocnAxVog\n \nBuild a dream career in data engineering with the MTech program from SRM Institute of Sci… https://t.co/mE0hanY1mZ","corpus_news"
0,"RT @calvinrobinson: Biomedical data (DNA) of 1/2 million Brits is being shared with China.\n\nUK Government encouraged data-sharing with Chin…","moles_deborah"
0,"RT @calvinrobinson: Biomedical data (DNA) of 1/2 million Brits is being shared with China.\n\nUK Government encouraged data-sharing with Chin…","TOPA_JustAVoice"
0,"RT @tassaa99: Mwambie mwenzako \nMasters in Data Science na Masters in Statistics zipo on 50% scholarship, Chandigarh University, India\nAfte…","colinsmushi12"
0,"RT @calvinrobinson: Biomedical data (DNA) of 1/2 million Brits is being shared with China.\n\nUK Government encouraged data-sharing with Chin…","GalanthusA"
0,"RT @calvinrobinson: Biomedical data (DNA) of 1/2 million Brits is being shared with China.\n\nUK Government encouraged data-sharing with Chin…","WendSitGonnaHap"
0,"RT @calvinrobinson: Biomedical data (DNA) of 1/2 million Brits is being shared with China.\n\nUK Government encouraged data-sharing with Chin…","eads4th"
0,"RT @lidangzzz: 为什么不要润美读data science？\n1. DS是一个边缘夕阳行业，并不直接产生价值；\n2. DS大爆发在2010年前后，2017年之后逐渐饱和，目前一个DS工作经常20个人抢；\n3. DS项目门槛低，很多人工作若干年后修MS甚至证书拓展技能…","bayren902"
0,"RT @PBC174: Yet another one the 'conspiracy theorists' foretold. \n\nThe government is allowing the genetic harvesting of its citizens and sh…","MechanisedNavy"
-1,"RT @3novices: Daughter of 'Putin's brain' ideologist killed in car blast https://t.co/7ODKppSbgi #3Novices #Meghashyam Thiruveedula #Data S…","LuisaRagni"
0,"RT @calvinrobinson: Biomedical data (DNA) of 1/2 million Brits is being shared with China.\n\nUK Government encouraged data-sharing with Chin…","WomenAreHereNow"
0,"RT @mafolebaraka: Skills zenye demand zaidi kwenye freelancing platforms\n1. Digital marketing\n2. Virtual assistance especially for ecomm st…","mrceoxxv"
1,"RT @PinakiLaskar: 10 most common Data Science skills in jobs\n#AI #ML #IoT #DataScience #BigData #Analytics #Serverless #Linux #RStats #Prog…","PinakiLaskar"
0,"https://t.co/m6ipr4IDrs","schallierw"
0,"RT @tassaa99: Mwambie mwenzako \nMasters in Data Science na Masters in Statistics zipo on 50% scholarship, Chandigarh University, India\nAfte…","ManenoIzaak"
1,"RT @byLilyV: 100 Days of Code: The Complete #Python Pro #Bootcamp for 2022\n\nMaster #Python by building 100 projects in 100 days. Learn data…","steminist_bot"
0,"RT @calvinrobinson: Biomedical data (DNA) of 1/2 million Brits is being shared with China.\n\nUK Government encouraged data-sharing with Chin…","oxyGINnT"
